iter	MultiClass
0	1.755676377
1	1.622238795
2	1.507515498
3	1.417095052
4	1.344425309
5	1.284337107
6	1.228812057
7	1.182084176
8	1.140857146
9	1.10270012
10	1.067974404
11	1.035817572
12	1.00900876
13	0.9840224926
14	0.9601694342
15	0.9391820816
16	0.9201013195
17	0.9032955038
18	0.8873718311
19	0.8720736307
20	0.8583543738
21	0.8454087948
22	0.8333815466
23	0.8237829266
24	0.8142846106
25	0.8041184108
26	0.795649506
27	0.7883030226
28	0.7807482073
29	0.7732860432
30	0.7667679434
31	0.7609638332
32	0.7539342411
33	0.7473628361
34	0.742269914
35	0.7368836891
36	0.7316324655
37	0.7265587393
38	0.7224148824
39	0.7171568588
40	0.7129034077
41	0.7079873179
42	0.7044452412
43	0.6993283955
44	0.6948891562
45	0.6908093366
46	0.6877920903
47	0.6846370735
48	0.6816944883
49	0.6778673434
50	0.6750273402
51	0.6720611915
52	0.6691293349
53	0.6655147722
54	0.6629029114
55	0.6605384647
56	0.656561286
57	0.6536680072
58	0.6510457104
59	0.6498293603
60	0.6476192586
61	0.6450881669
62	0.6429882615
63	0.6394733041
64	0.6366196094
65	0.6339882876
66	0.632077038
67	0.6292304174
68	0.6264269733
69	0.6231996727
70	0.6209377676
71	0.6184436176
72	0.6166736481
73	0.6147125837
74	0.613388733
75	0.610907762
76	0.6090186519
77	0.6077841265
78	0.6057759926
79	0.6037970193
80	0.6020621473
81	0.5994312079
82	0.5976011294
83	0.5952370948
84	0.5935134747
85	0.5921873066
86	0.5907875029
87	0.5893266475
88	0.5875629172
89	0.5859026963
90	0.584145908
91	0.5824898229
92	0.5800634334
93	0.5779372361
94	0.5759848641
95	0.5744403323
96	0.5730564066
97	0.5712940288
98	0.5694223784
99	0.5681235514
100	0.5665043811
101	0.5646095809
102	0.563045735
103	0.5608768193
104	0.5596757903
105	0.5583228831
106	0.5568096036
107	0.5552470473
108	0.5534186956
109	0.5516390601
110	0.5503165301
111	0.5494719683
112	0.5473355505
113	0.5448779003
114	0.5436005973
115	0.5420999281
116	0.5410591966
117	0.5396519141
118	0.5380506453
119	0.5366770459
120	0.5347731542
121	0.5344839557
122	0.5333642655
123	0.5313013412
124	0.5303426933
125	0.5293533322
126	0.5275612125
127	0.5261111614
128	0.5245905988
129	0.5232026168
130	0.5220641531
131	0.5207062225
132	0.5198263107
133	0.518392474
134	0.517224766
135	0.5162517094
136	0.5150023842
137	0.5135820821
138	0.5126640743
139	0.5120136106
140	0.5109704374
141	0.5101724402
142	0.5091571053
143	0.5083174799
144	0.5068321029
145	0.5060879115
146	0.5043098891
147	0.5032806664
148	0.5023636982
149	0.5018045247
150	0.501005329
151	0.4991490651
152	0.4983061848
153	0.497452598
154	0.4965578067
155	0.4956962402
156	0.4950209274
157	0.493852925
158	0.4921526513
159	0.4915503514
160	0.490762626
161	0.4900416284
162	0.489022369
163	0.4883582219
164	0.4873871851
165	0.4867997014
166	0.4865834098
167	0.4857302131
168	0.4852799606
169	0.4842213423
170	0.4837114378
171	0.4832657593
172	0.4827606015
173	0.4815863253
174	0.4806658
175	0.4796657048
176	0.4784192608
177	0.4773865662
178	0.4764065361
179	0.4756240819
180	0.4743336119
181	0.4733919547
182	0.47264634
183	0.472326831
184	0.4712895725
185	0.4704367488
186	0.4701365351
187	0.4694101825
188	0.4684969551
189	0.467877871
190	0.4665294407
191	0.4658081033
192	0.4652045826
193	0.4638934236
194	0.4630371228
195	0.4624717977
196	0.4618708573
197	0.4607889398
198	0.4605161714
199	0.4596460274
200	0.4587677364
201	0.4579579867
202	0.4571713823
203	0.4564457527
204	0.4557351178
205	0.455052993
206	0.4547966526
207	0.4535752099
208	0.4528538173
209	0.4525236105
210	0.4522327873
211	0.4517501294
212	0.4514333914
213	0.4507585462
214	0.4500907476
215	0.4496952872
216	0.4489852497
217	0.4483065635
218	0.4475151647
219	0.4466753459
220	0.4459733082
221	0.4456056862
222	0.4451810293
223	0.4440906439
224	0.4437727126
225	0.4430316558
226	0.4425345055
227	0.4416486069
228	0.4407379533
229	0.4401136913
230	0.4395714153
231	0.438877238
232	0.4381341358
233	0.437808139
234	0.4372549355
235	0.4365392446
236	0.435223363
237	0.434255473
238	0.4337397699
239	0.4328063444
240	0.4320481757
241	0.4314665997
242	0.431104197
243	0.4305907694
244	0.4295092485
245	0.429296269
246	0.4284930457
247	0.4277936675
248	0.4272665431
249	0.4267177415
250	0.4262206881
251	0.4257061987
252	0.424823636
253	0.4242546478
254	0.4238102919
255	0.4231623889
256	0.4221920064
257	0.4215396039
258	0.4210924978
259	0.4203117702
260	0.4198325933
261	0.4190640899
262	0.418361647
263	0.4178400379
264	0.417471858
265	0.4169189351
266	0.4165534141
267	0.4157775313
268	0.415305513
269	0.4147175687
270	0.4142590128
271	0.4135854121
272	0.4131838321
273	0.4126043986
274	0.4121634282
275	0.4115426095
276	0.4107056785
277	0.4103232263
278	0.409867206
279	0.4093001159
280	0.4087694478
281	0.4082406494
282	0.4074894163
283	0.4066084971
284	0.4064261179
285	0.406028925
286	0.4054480025
287	0.4048567678
288	0.4038457581
289	0.4035355014
290	0.4032308023
291	0.4023398192
292	0.4018518715
293	0.4013252778
294	0.4007990713
295	0.4000780675
296	0.3994311159
297	0.3987739736
298	0.3982338781
299	0.3972914728
300	0.3967945016
301	0.3961615534
302	0.395654928
303	0.3953029112
304	0.3950125573
305	0.3945171171
306	0.3936915716
307	0.3930642821
308	0.3927776088
309	0.3919449068
310	0.3916527623
311	0.3913919737
312	0.3909956141
313	0.3907138992
314	0.3899493143
315	0.3895049812
316	0.3890154812
317	0.388772937
318	0.3885774259
319	0.3883952556
320	0.3880362532
321	0.387343939
322	0.3868820607
323	0.386332761
324	0.3860166461
325	0.3857664409
326	0.3855001434
327	0.3847709272
328	0.3844716711
329	0.383695438
330	0.3832276738
331	0.3826902652
332	0.3822302547
333	0.3819035661
334	0.381433112
335	0.3808391031
336	0.3806470119
337	0.3803607895
338	0.3795438147
339	0.3789927741
340	0.378205739
341	0.3779155219
342	0.3774137486
343	0.3771083472
344	0.3767066135
345	0.3764456804
346	0.3761659489
347	0.3756659698
348	0.3753622374
349	0.3751810948
350	0.3748337506
351	0.374238948
352	0.3735120984
353	0.3732591488
354	0.3727280856
355	0.3723925682
356	0.3718312033
357	0.3715543238
358	0.371235373
359	0.3707753137
360	0.3703613436
361	0.370022011
362	0.3697347762
363	0.3691822333
364	0.3689590327
365	0.3686396209
366	0.3679900841
367	0.3677445197
368	0.3674195268
369	0.3669799926
370	0.3663472194
371	0.3659550505
372	0.3657021838
373	0.3652012656
374	0.365085525
375	0.3648173399
376	0.3646858099
377	0.3644490162
378	0.3640582136
379	0.3635765977
380	0.3631677974
381	0.3628673271
382	0.362191781
383	0.3616595482
384	0.3611926782
385	0.3606297442
386	0.3603278358
387	0.3598665345
388	0.3594195401
389	0.3592207444
390	0.3588240924
391	0.3582335761
392	0.35743615
393	0.3572975988
394	0.3564706458
395	0.3560535209
396	0.3557084107
397	0.3555739129
398	0.3553733486
399	0.3551788587
400	0.3549456666
401	0.354587353
402	0.3541094723
403	0.3536628441
404	0.3532801292
405	0.3528645952
406	0.3523267459
407	0.352001088
408	0.3516063036
409	0.3511898767
410	0.3509108118
411	0.3504862293
412	0.3502853289
413	0.3501077321
414	0.3498358987
415	0.3497300053
416	0.3495118268
417	0.3491299297
418	0.3488531055
419	0.3485049198
420	0.3480183956
421	0.3476499318
422	0.347308295
423	0.346932806
424	0.3464592128
425	0.3461830675
426	0.3457240137
427	0.3452307958
428	0.3449409179
429	0.3445356842
430	0.3442649254
431	0.3439040516
432	0.3436859525
433	0.3431279711
434	0.3427607949
435	0.3424522801
436	0.3418581099
437	0.3412831222
438	0.3410414951
439	0.3408662172
440	0.3405206453
441	0.3403717063
442	0.3402376527
443	0.3398985526
444	0.3396393917
445	0.3393288893
446	0.338756547
447	0.3383796287
448	0.3380106821
449	0.3377117616
450	0.3374596821
451	0.3373089333
452	0.3367496799
453	0.336564177
454	0.3362907185
455	0.3358439083
456	0.3356233018
457	0.3350757481
458	0.3348927553
459	0.3346479119
460	0.3344090415
461	0.3341958982
462	0.33405438
463	0.3337917954
464	0.3334898711
465	0.3332361595
466	0.332740842
467	0.332393427
468	0.3321296986
469	0.3315746464
470	0.3313409603
471	0.3312377283
472	0.3309105217
473	0.3305487303
474	0.3304224972
475	0.3300685778
476	0.3299379938
477	0.329584395
478	0.3293760645
479	0.3288367269
480	0.3286167642
481	0.3284439718
482	0.3282402679
483	0.3277951275
484	0.3275686129
485	0.3274789268
486	0.3270045676
487	0.3266072371
488	0.3263785267
489	0.3261028984
490	0.3257882887
491	0.3253720967
492	0.3249977773
493	0.3246830817
494	0.3244702102
495	0.3243074606
496	0.3239195208
497	0.3233641425
498	0.3229009966
499	0.3226573938
500	0.3223043858
501	0.3218867129
502	0.3215472638
503	0.3210654468
504	0.3208055466
505	0.3205294247
506	0.3202010009
507	0.3198065828
508	0.3194751468
509	0.319083683
510	0.3188139693
511	0.3185190098
512	0.3182634299
513	0.3180097623
514	0.3177448759
515	0.317366138
516	0.3171352522
517	0.3169453477
518	0.3164175469
519	0.3161712719
520	0.3158644303
521	0.3155396006
522	0.3152684528
523	0.3149796199
524	0.3146959682
525	0.3141584875
526	0.3138527648
527	0.3132517416
528	0.3126529101
529	0.3124263151
530	0.312137178
531	0.3118548494
532	0.3116524692
533	0.3114055793
534	0.3112918635
535	0.3109065071
536	0.3104570494
537	0.3101491297
538	0.3099149918
539	0.3097298514
540	0.3094744444
541	0.3093013554
542	0.3091331733
543	0.3088875868
544	0.3084439397
545	0.3080175058
546	0.3077678046
547	0.3074830634
548	0.3070211649
549	0.3067984028
550	0.3063617771
551	0.3061300219
552	0.3058800348
553	0.3055684096
554	0.305282991
555	0.3051288662
556	0.3049629673
557	0.3046730319
558	0.3043129461
559	0.3040455498
560	0.3036534272
561	0.303453554
562	0.3032273208
563	0.3030710476
564	0.3026235052
565	0.3024042571
566	0.3023412169
567	0.3020062761
568	0.301883204
569	0.3016407278
570	0.3013791591
571	0.3011138444
572	0.3007596864
573	0.3003435818
574	0.3000269064
575	0.29988938
576	0.2994898704
577	0.2992379091
578	0.299068092
579	0.2987745927
580	0.2984497488
581	0.2980391408
582	0.2976585685
583	0.2973981774
584	0.2971554081
585	0.2966649482
586	0.2963636243
587	0.2961969766
588	0.2958005197
589	0.2955546144
590	0.2954431934
591	0.2950827925
592	0.2946424337
593	0.2944535831
594	0.2941082889
595	0.2940358172
596	0.2936401682
597	0.2934471522
598	0.2932349728
599	0.2926722681
600	0.2923718716
601	0.2922169404
602	0.2919280743
603	0.2918153097
604	0.2916139213
605	0.291281717
606	0.2911503571
607	0.2909241726
608	0.290780456
609	0.2904811109
610	0.2903083521
611	0.2899258725
612	0.2895849601
613	0.2892269028
614	0.2888406956
615	0.2886904765
616	0.2884427725
617	0.2882305498
618	0.2881249038
619	0.2879481684
620	0.287550903
621	0.2874263158
622	0.2871577333
623	0.2868146536
624	0.2865637162
625	0.2862226631
626	0.2860528987
627	0.2858846125
628	0.2857673379
629	0.285518309
630	0.2853295826
631	0.2850509785
632	0.284818711
633	0.2846279738
634	0.2844937347
635	0.2843125779
636	0.2841215161
637	0.2839357357
638	0.2838039375
639	0.2836358537
640	0.2831975108
641	0.2829290217
642	0.2825795619
643	0.2822920931
644	0.2821471611
645	0.2819415702
646	0.2815791652
647	0.2814345552
648	0.2812728677
649	0.2810784596
650	0.2807190213
651	0.2804983679
652	0.2802054849
653	0.2800272646
654	0.2796621124
655	0.2794747699
656	0.2792258905
657	0.2789673081
658	0.2787249791
659	0.2781812738
660	0.2779641603
661	0.2779046645
662	0.277693523
663	0.2776329991
664	0.2773036746
665	0.2771610376
666	0.2769239157
667	0.2767350607
668	0.2764959596
669	0.2761917371
670	0.275994145
671	0.2758609945
672	0.2757171597
673	0.2755492706
674	0.2753007047
675	0.2750647408
676	0.2747552264
677	0.2745253139
678	0.2741994743
679	0.2741065462
680	0.2740247843
681	0.2738264148
682	0.2736306869
683	0.2734394006
684	0.2731552684
685	0.2727655683
686	0.2725373285
687	0.2722494021
688	0.272075967
689	0.2718190497
690	0.2716810959
691	0.2715312656
692	0.2713316734
693	0.2711391736
694	0.270901913
695	0.2705135294
696	0.2701485747
697	0.2699220632
698	0.2697903913
699	0.2696458265
700	0.2694588314
701	0.269234839
702	0.2689639059
703	0.2688663852
704	0.2685712698
705	0.2684115499
706	0.2682945122
707	0.2679753407
708	0.2676697248
709	0.2675810273
710	0.2674257361
711	0.2671610671
712	0.267018017
713	0.2669173276
714	0.2667179153
715	0.2664389122
716	0.2662416965
717	0.2660922328
718	0.2657278277
719	0.2655780512
720	0.2654806169
721	0.2652606942
722	0.2649849315
723	0.2647923527
724	0.2646277293
725	0.2643093741
726	0.2638279637
727	0.2636809578
728	0.2633834288
729	0.2631428134
730	0.2630521749
731	0.2629142532
732	0.2627966286
733	0.2625397866
734	0.2624291047
735	0.262215877
736	0.2619574745
737	0.261759082
738	0.2615996246
739	0.2614315092
740	0.2611889303
741	0.2610627285
742	0.2609346431
743	0.2607393228
744	0.260522792
745	0.2603889429
