iter	Passed	Remaining
0	69	69167
1	76	38008
2	82	27352
3	88	22023
4	95	18935
5	101	16835
6	106	15160
7	111	13834
8	116	12797
9	121	12050
10	126	11377
11	133	10956
12	137	10468
13	142	10050
14	147	9691
15	152	9361
16	157	9083
17	161	8830
18	166	8596
19	172	8436
20	176	8228
21	180	8028
22	185	7865
23	189	7716
24	194	7568
25	198	7426
26	203	7320
27	208	7227
28	212	7129
29	217	7042
30	222	6954
31	227	6868
32	231	6775
33	235	6688
34	240	6617
35	244	6555
36	249	6485
37	254	6431
38	258	6377
39	263	6320
40	267	6267
41	272	6211
42	277	6166
43	281	6113
44	285	6062
45	290	6015
46	294	5975
47	299	5936
48	303	5894
49	308	5859
50	312	5821
51	317	5782
52	321	5743
53	326	5722
54	331	5690
55	335	5658
56	340	5629
57	344	5598
58	349	5569
59	353	5531
60	357	5506
61	362	5477
62	366	5446
63	370	5423
64	375	5404
65	380	5382
66	385	5361
67	389	5342
68	394	5319
69	398	5298
70	403	5276
71	409	5278
72	414	5263
73	418	5239
74	422	5216
75	427	5193
76	432	5182
77	436	5162
78	441	5143
79	446	5134
80	451	5118
81	455	5104
82	460	5093
83	465	5076
84	470	5060
85	474	5043
86	478	5026
87	483	5010
88	488	4995
89	492	4980
90	497	4965
91	501	4950
92	506	4940
93	511	4933
94	516	4922
95	521	4910
96	525	4892
97	529	4877
98	534	4866
99	539	4857
100	544	4843
101	548	4830
102	553	4824
103	559	4820
104	564	4810
105	569	4805
106	574	4792
107	579	4782
108	583	4767
109	588	4757
110	592	4744
111	596	4732
112	601	4720
113	605	4708
114	610	4696
115	614	4681
116	618	4666
117	622	4655
118	627	4645
119	631	4634
120	636	4623
121	641	4614
122	645	4604
123	650	4593
124	654	4581
125	670	4651
126	676	4648
127	680	4637
128	685	4626
129	689	4615
130	694	4603
131	698	4591
132	703	4582
133	707	4571
134	712	4563
135	717	4556
136	721	4544
137	727	4542
138	731	4531
139	736	4522
140	740	4514
141	745	4502
142	749	4493
143	754	4484
144	759	4475
145	763	4463
146	767	4455
147	773	4452
148	777	4443
149	782	4435
150	788	4434
151	793	4424
152	797	4413
153	802	4408
154	807	4400
155	811	4390
156	816	4383
157	820	4374
158	824	4363
159	829	4355
160	834	4347
161	838	4337
162	843	4329
163	847	4320
164	852	4313
165	857	4306
166	861	4298
167	867	4293
168	872	4287
169	877	4283
170	882	4276
171	886	4269
172	891	4262
173	896	4255
174	900	4246
175	905	4237
176	909	4228
177	913	4218
178	918	4212
179	922	4204
180	928	4199
181	932	4192
182	937	4183
183	942	4179
184	947	4173
185	952	4166
186	956	4159
187	961	4153
188	966	4149
189	971	4140
190	975	4133
191	980	4128
192	985	4120
193	990	4116
194	995	4109
195	1000	4102
196	1004	4094
197	1008	4086
198	1013	4078
199	1017	4070
200	1022	4063
201	1026	4054
202	1030	4046
203	1034	4038
204	1039	4029
205	1043	4021
206	1047	4013
207	1051	4005
208	1056	3998
209	1061	3991
210	1065	3984
211	1070	3978
212	1075	3972
213	1079	3966
214	1084	3960
215	1090	3956
216	1094	3949
217	1098	3940
218	1102	3932
219	1106	3922
220	1110	3912
221	1114	3904
222	1118	3896
223	1121	3886
224	1126	3879
225	1130	3873
226	1135	3866
227	1139	3857
228	1143	3851
229	1147	3841
230	1151	3833
231	1155	3825
232	1159	3817
233	1163	3809
234	1167	3801
235	1171	3793
236	1175	3785
237	1179	3776
238	1183	3768
239	1187	3760
240	1191	3751
241	1195	3743
242	1205	3754
243	1209	3746
244	1213	3740
245	1217	3732
246	1221	3723
247	1225	3716
248	1229	3709
